NAME,Rural,Population,Sample,age65
北京市,291,2154,17673,1989
天津市,263,1560,12794,1397
河北省,3292,7556,61907,7854
山西省,1546,3718,30481,3147
内蒙古自治区,945,2534,20781,2047
辽宁省,1391,4359,35744,5353
吉林省,1148,2704,22173,2743
黑龙江省,1505,3773,30946,3780
上海市,288,2424,19877,2972
江苏省,2447,8051,65996,9435
浙江省,1784,5737,47034,6108
安徽省,2865,6324,51812,6840
福建省,1347,3941,32309,3065
江西省,2044,4648,38080,3707
山东省,3900,10047,82408,12495
河南省,4638,9605,78679,8698
湖北省,2349,5917,48498,6059
湖南省,3034,6899,56516,7057
广东省,3324,11346,93024,7687
广西壮族自治区,2452,4926,40353,4046
海南省,382,934,7658,629
重庆市,1070,3102,25416,3678
四川省,3979,8341,68344,10244
贵州省,1889,3600,29487,3344
云南省,2521,4830,39584,3790
西藏自治区,237,344,2817,160
陕西省,1618,3864,31684,3536
甘肃省,1379,2637,21614,2446
青海省,275,603,4945,375
宁夏回族自治区,283,688,5638,507
新疆维吾尔自治区,1221,2487,20375,1458
